Product Name,Price,Ratings,Micron Ratings,Number of Filtration Stages,Shelf Life,Best Suited Purifiers,Filter Material,Compatible with other purifiers,Number of Packs,Product_Url
"Smart Flyer Ro Aquaguard Ro Spun PP 10 for RO Service Solid Filter Cartridge Solid Filter Cartridge  (0.005, Pack of 4)",₹249,3.9,0.005,Filtration Stages: 1,Shelf Life: 18144000 Months,"Best Suited for Aquaguard Reviva, Aquaguard Enhance, Aquaguard Aquasure, Dolphin Purifiers, Kent Supreme, Kent Grand, Kent Pearl, Kent Superstar, Kent Super, ZeroB IonExchange, Aquagrand, Aqua Grand, Aqufresh, Aqua Fresh, Aquasure, All Domestic RO Systems and Water Filters","Best Suited for Aquaguard Reviva, Aquaguard Enhance, Aquaguard Aquasure, Dolphin Purifiers, Kent Supreme, Kent Grand, Kent Pearl, Kent Superstar, Kent Super, ZeroB IonExchange, Aquagrand, Aqua Grand, Aqufresh, Aqua Fresh, Aquasure, All Domestic RO Systems and Water Filters","Used For: Water filtration, To enhance taste of water","Used For: Water filtration, To enhance taste of water",https://www.flipkart.com/smart-flyer-ro-aquaguard-spun-pp-10-service-solid-filter-cartridge/p/itm82cc71b84f4ac?pid=WFCFKBV8XVWUQCKC&lid=LSTWFCFKBV8XVWUQCKCKQA58Q&marketplace=FLIPKART&q=water+purifier+filter&store=h1m%2Fiee%2Fkjm%2Fjt3&srno=s_1_11&otracker=search&otracker1=search&fm=organic&iid=2d7fe752-2255-4fdb-ba50-fbb6772b21f6.WFCFKBV8XVWUQCKC.SEARCH&ppt=None&ppn=None&ssid=j7sz8a9d0g0000001683142897599&qH=5785f7b9d14747e9
"D'Cal by D'Cal Whole House Hard Water Softner Solid Filter Cartridge  (0.001, Pack of 1)","₹3,510",3.7,0.001,Filtration Stages: 2,Shelf Life: 1 Year,Best Suited for Anti scale,Best Suited for Anti scale,"Used For: Process Water, NO Electricity Required, NO Maintenance, NO Plumbing, NO Regeneration, NO Plumbing, NO Water Wastage, NO High Cost, NO Manpower Required, NO Toxic Material used","Used For: Process Water, NO Electricity Required, NO Maintenance, NO Plumbing, NO Regeneration, NO Plumbing, NO Water Wastage, NO High Cost, NO Manpower Required, NO Toxic Material used",https://www.flipkart.com/d-cal-whole-house-hard-water-softner-solid-filter-cartridge/p/itm5e58c842e6c97?pid=WFCFN6YHZ9HQTUMN&lid=LSTWFCFN6YHZ9HQTUMNL2YZEA&marketplace=FLIPKART&q=water+purifier+filter&store=h1m%2Fiee%2Fkjm%2Fjt3&srno=s_1_12&otracker=search&otracker1=search&fm=organic&iid=en_AoOTCzq4QaWcmxNXTmAbLrjXxqs70NAv4Bs6OQyncK1NUwGBdLcx%2BycvHMxxJdzWSxryuI5PTfq8bHpMcsbcUA%3D%3D&ppt=None&ppn=None&ssid=j7sz8a9d0g0000001683142897599&qH=5785f7b9d14747e9
"AquaDpure Complete 100 GPD RO Water Purifier Service Kit filter Suitable for All Type of Water Purifier (Complete kit of Carbon and sediment) Solid Filter Cartridge  (0.3, Pack of 19)","₹1,089",4,0.3,"Filter Material: [""Plastic""]",Compatible With: Electric Water Purifiers,Pack of 19,Pack of 19,Filtration Stages: 7,Filtration Stages: 7,https://www.flipkart.com/aquadpure-complete-100-gpd-ro-water-purifier-service-kit-filter-suitable-all-type-complete-carbon-sediment-solid-cartridge/p/itmf43af0281ae33?pid=WFCG5ZMHF2ZYYCFH&lid=LSTWFCG5ZMHF2ZYYCFHBMJRC2&marketplace=FLIPKART&q=water+purifier+filter&store=h1m%2Fiee%2Fkjm%2Fjt3&srno=s_1_13&otracker=search&otracker1=search&fm=organic&iid=2d7fe752-2255-4fdb-ba50-fbb6772b21f6.WFCG5ZMHF2ZYYCFH.SEARCH&ppt=None&ppn=None&ssid=j7sz8a9d0g0000001683142897599&qH=5785f7b9d14747e9
"AquaDart RO Service kit of membrane & filter for All Type Of Water Purifier (RO Membrane Inline+TDS Meter+UF+Mineral+Housing) And Connectors Solid Filter Cartridge  (0.3, Pack of 27)","₹1,399",4,0.3,Shelf Life: 12 Months,Best Suited for All Type Of Ro Water Purifier,"Filter Material: [""Polyvinyl Chloride (PVC)""]","Filter Material: [""Polyvinyl Chloride (PVC)""]",Filtration Stages: 8,Filtration Stages: 8,https://www.flipkart.com/aquadart-ro-service-kit-membrane-filter-all-type-water-purifier-ro-inline-tds-meter-uf-mineral-housing-connectors-solid-cartridge/p/itm6253c2eb1d0f6?pid=WFCFU7JFFASQGZGX&lid=LSTWFCFU7JFFASQGZGX3EKFIN&marketplace=FLIPKART&q=water+purifier+filter&store=h1m%2Fiee%2Fkjm%2Fjt3&srno=s_1_14&otracker=search&otracker1=search&fm=organic&iid=2d7fe752-2255-4fdb-ba50-fbb6772b21f6.WFCFU7JFFASQGZGX.SEARCH&ppt=None&ppn=None&ssid=j7sz8a9d0g0000001683142897599&qH=5785f7b9d14747e9
"AQUANZA Pre filter set kit for all domestic RO water purifier/Complete filter set Pack of (2PCS candle filter 10inch,Teflon Tap, Black Spanner, 2elbow, 3m White pipe) Solid Filter Cartridge Solid Filter Cartridge  (0.005, Pack of 8)",₹303,4.1,0.005,"Filter Material: [""Polypropylene (PP)""]",Compatible With: Electric Water Purifiers,Pack of 8,Pack of 8,Filtration Stages: 1,Filtration Stages: 1,https://www.flipkart.com/aquanza-pre-filter-set-kit-all-domestic-ro-water-purifier-complete-pack-2pcs-candle-10inch-teflon-tap-black-spanner-2elbow-3m-white-pipe-solid-cartridge/p/itma0ff1c02350c0?pid=WFCG6GAZHQQGU8YS&lid=LSTWFCG6GAZHQQGU8YS3FW6VU&marketplace=FLIPKART&q=water+purifier+filter&store=h1m%2Fiee%2Fkjm%2Fjt3&srno=s_1_15&otracker=search&otracker1=search&fm=organic&iid=2d7fe752-2255-4fdb-ba50-fbb6772b21f6.WFCG6GAZHQQGU8YS.SEARCH&ppt=None&ppn=None&ssid=j7sz8a9d0g0000001683142897599&qH=5785f7b9d14747e9
"JX PERT 100GPD RO HIGH UPTO 2000 TDS MEMBRANE FOR ALL TYPE OF RO WATER PURIFIER Solid Filter Cartridge  (0.005, Pack of 1)",₹600,2.3,0.005,Shelf Life: 24 Months,Best Suited for All types of Electric water purifier,"Filter Material: [""Polypropylene (PP)""]","Filter Material: [""Polypropylene (PP)""]",Filtration Stages: 5,Filtration Stages: 5,https://www.flipkart.com/jx-pert-100gpd-ro-high-upto-2000-tds-membrane-all-type-water-purifier-solid-filter-cartridge/p/itm032608db4dfb8?pid=WFCGBZFZUTB6PPQW&lid=LSTWFCGBZFZUTB6PPQWM48W1S&marketplace=FLIPKART&q=water+purifier+filter&store=h1m%2Fiee%2Fkjm%2Fjt3&srno=s_1_16&otracker=search&otracker1=search&fm=organic&iid=en_AoOTCzq4QaWcmxNXTmAbLrjXxqs70NAv4Bs6OQyncK1IyqanVk83TWkvFJcJ53L4ym2Rm648JcOYNA%2FHs99wvg%3D%3D&ppt=None&ppn=None&ssid=j7sz8a9d0g0000001683142897599&qH=5785f7b9d14747e9
"GE FILTRATION 80GPD Vontron Membrane 2pcs with 2pcs FR suitable for all kind of domestic RO water purifier/Can works on TDS upto 1500 Solid Filter Cartridge  (0.005, Pack of 4)",₹711,3.7,0.005,Shelf Life: 12 Months,"Best Suited for All Domestic water purifier, All RO water purifier system., All Kind of Domestic water purifiers","Filter Material: [""Polypropylene (PP)""]","Filter Material: [""Polypropylene (PP)""]",Filtration Stages: 7,Filtration Stages: 7,https://www.flipkart.com/ge-filtration-80gpd-vontron-membrane-2pcs-fr-suitable-all-kind-domestic-ro-water-purifier-can-works-tds-upto-1500-solid-filter-cartridge/p/itm0ee8b3fdbdce9?pid=WFCG4ZYHPSGGZFFD&lid=LSTWFCG4ZYHPSGGZFFDPTS607&marketplace=FLIPKART&q=water+purifier+filter&store=h1m%2Fiee%2Fkjm%2Fjt3&srno=s_1_17&otracker=search&otracker1=search&fm=organic&iid=2d7fe752-2255-4fdb-ba50-fbb6772b21f6.WFCG4ZYHPSGGZFFD.SEARCH&ppt=None&ppn=None&ssid=j7sz8a9d0g0000001683142897599&qH=5785f7b9d14747e9
"Morning Star Technology Sediment filter 10"" 5 Micron cartridge candle to fit most standard 10"" 5 Micron filter housings ( PACK OF 1 ) Solid Filter Cartridge  (0.005, Pack of 1)",₹199,3.9,0.005,Filtration Stages: 1,Shelf Life: 6 Months,"Best Suited for Aquaguard, Kent, Pentair, Luminous, USHA Brita, A-pure, Aquafresh, Elixir, Philips, Aquasure and all types of water purifiers Suitable for water use only. 10"" cartridge / filter / candle to fit most standard 10"" filter housings. Sediment filter removes sand, silt, dirt and rust particles. Increases the life of other inline filters. Suitable for water use only This filter is suitable for Aquaguard, Kent, Pentair, Luminous, USHA Brita, Aquafresh, Elixir, Philips, Aquasure and all types of water purifiers","Best Suited for Aquaguard, Kent, Pentair, Luminous, USHA Brita, A-pure, Aquafresh, Elixir, Philips, Aquasure and all types of water purifiers Suitable for water use only. 10"" cartridge / filter / candle to fit most standard 10"" filter housings. Sediment filter removes sand, silt, dirt and rust particles. Increases the life of other inline filters. Suitable for water use only This filter is suitable for Aquaguard, Kent, Pentair, Luminous, USHA Brita, Aquafresh, Elixir, Philips, Aquasure and all types of water purifiers",Used For: water filter cartridge,Used For: water filter cartridge,https://www.flipkart.com/morning-star-technology-sediment-filter-10-5-micron-cartridge-candle-fit-most-standard-housings-pack-1-solid/p/itmffazag6gwpcmh?pid=WFCFF88DPHZZGCGY&lid=LSTWFCFF88DPHZZGCGYXEXDHO&marketplace=FLIPKART&q=water+purifier+filter&store=h1m%2Fiee%2Fkjm%2Fjt3&srno=s_1_18&otracker=search&otracker1=search&fm=organic&iid=2d7fe752-2255-4fdb-ba50-fbb6772b21f6.WFCFF88DPHZZGCGY.SEARCH&ppt=None&ppn=None&ssid=j7sz8a9d0g0000001683142897599&qH=5785f7b9d14747e9
"colorsole Mypure RO Membrane Filter CSM 80 GPD + Membrane Housing + Elbow Connectors + Teflon Tape + FR Flow Res... Pleated Filter Cartridge  (0.2, Pack of 1)",₹593,3.4,0.2,"Filter Material: [""Carbon""]",Compatible With: Electric Water Purifiers,Pack of 1,Pack of 1,Filtration Stages: 6,Filtration Stages: 6,https://www.flipkart.com/colorsole-mypure-ro-membrane-filter-csm-80-gpd-housing-elbow-connectors-teflon-tape-fr-flow-res-pleated-cartridge/p/itm7ce3d0ed4e001?pid=WFCG8HSBD8KKFSGC&lid=LSTWFCG8HSBD8KKFSGCH6YHCI&marketplace=FLIPKART&q=water+purifier+filter&store=h1m%2Fiee%2Fkjm%2Fjt3&srno=s_1_19&otracker=search&otracker1=search&fm=organic&iid=2d7fe752-2255-4fdb-ba50-fbb6772b21f6.WFCG8HSBD8KKFSGC.SEARCH&ppt=None&ppn=None&ssid=j7sz8a9d0g0000001683142897599&qH=5785f7b9d14747e9
"chirag distribution RO Water Purifier Thik Outer Candle/Spun(10 inch/2.76inch) Solid Filter Cartridge  (0005, Pack of 2)",₹199,4.2,0005,Shelf Life: 1 Year,"Filter Material: [""Polypropylene (PP)""]",Compatible With: Electric Water Purifiers,Compatible With: Electric Water Purifiers,Filtration Stages: 1,Filtration Stages: 1,https://www.flipkart.com/chirag-distribution-ro-water-purifier-thik-outer-candle-spun-10-inch-2-76inch-solid-filter-cartridge/p/itm79ba4e071a7a2?pid=WFCGY5W8GVNFZ8WG&lid=LSTWFCGY5W8GVNFZ8WGQZAGRU&marketplace=FLIPKART&q=water+purifier+filter&store=h1m%2Fiee%2Fkjm%2Fjt3&srno=s_1_20&otracker=search&otracker1=search&fm=organic&iid=en_AoOTCzq4QaWcmxNXTmAbLrjXxqs70NAv4Bs6OQyncK1vBDFA4lo9gLG4nNu%2BBQesyf8MoNOY3mCjS%2FJhctsAKg%3D%3D&ppt=None&ppn=None&ssid=j7sz8a9d0g0000001683142897599&qH=5785f7b9d14747e9
"Cosmo RO by AAVZAA PREFILTER HOUSING BOWL FILTER + PP SPUN FILTER + 1/4"" NOSEL & SPANNER KEY FOR RO WATER PURIFIE SOLID FILTER CARTRIDGE (0.005, PACK OF 1) Solid Filter Cartridge  (0.005, Pack of 5)",₹244,4,0.005,Shelf Life: 12 Months,"Filter Material: [""Polypropylene (PP)""]",Compatible With: Electric Water Purifiers,Compatible With: Electric Water Purifiers,Filtration Stages: 1,Filtration Stages: 1,https://www.flipkart.com/cosmo-ro-aavzaa-prefilter-housing-bowl-filter-pp-spun-1-4-nosel-spanner-key-water-purifie-solid-cartridge-0-005-pack-1/p/itm184638fc8bb22?pid=WFCFVX5VU7GVZFVE&lid=LSTWFCFVX5VU7GVZFVEWDZQGC&marketplace=FLIPKART&q=water+purifier+filter&store=h1m%2Fiee%2Fkjm%2Fjt3&srno=s_1_21&otracker=search&otracker1=search&fm=organic&iid=2d7fe752-2255-4fdb-ba50-fbb6772b21f6.WFCFVX5VU7GVZFVE.SEARCH&ppt=None&ppn=None&ssid=j7sz8a9d0g0000001683142897599&qH=5785f7b9d14747e9
"Sai Enterprises Ro SPUN CANDLE 10"" FOR RO/UV PRE FILTER PACK OF 8 Solid Filter Cartridge  (0.5, Pack of 4)",₹244,3.8,0.5,Filtration Stages: 1,Shelf Life: 12 Months,Best Suited for ALL TYPES OF WATER PURIFIERS RO/UV,Best Suited for ALL TYPES OF WATER PURIFIERS RO/UV,Used For: REMOVES ALL IMPURITIES IN WATER LIKE DUST CHEMICAL,Used For: REMOVES ALL IMPURITIES IN WATER LIKE DUST CHEMICAL,https://www.flipkart.com/sai-enterprises-ro-spun-candle-10-ro-uv-pre-filter-pack-8-solid-cartridge/p/itmfhb4pvg5yd5gt?pid=WFCFH9JYGKBWXPAB&lid=LSTWFCFH9JYGKBWXPABCOFF3U&marketplace=FLIPKART&q=water+purifier+filter&store=h1m%2Fiee%2Fkjm%2Fjt3&srno=s_1_22&otracker=search&otracker1=search&fm=organic&iid=2d7fe752-2255-4fdb-ba50-fbb6772b21f6.WFCFH9JYGKBWXPAB.SEARCH&ppt=None&ppn=None&ssid=j7sz8a9d0g0000001683142897599&qH=5785f7b9d14747e9
"GUPTA ENTERPRISES RO Service Kit Pre-filter Housing Bowl + 2 Pcs. Spun Filter + SS Inlet Ball Valveeflon 1/4"" + 3 Meter RO Pipe + 2 Ro Tap + 1/4"" Connector For Water Purifier, Solid Filter Cartridge  (5, Pack of 5)",₹349,3.8,5,Shelf Life: 24 Months,Best Suited for Domestic Ro Water Purifier,"Filter Material: [""Plastic""]","Filter Material: [""Plastic""]",Filtration Stages: 1,Filtration Stages: 1,https://www.flipkart.com/gupta-enterprises-ro-service-kit-pre-filter-housing-bowl-2-pcs-spun-filter-ss-inlet-ball-valveeflon-1-4-3-meter-pipe-tap-connector-water-purifier-solid-cartridge/p/itmcf6df197e78ad?pid=WFCG5EERAQ4529VE&lid=LSTWFCG5EERAQ4529VECEGOAN&marketplace=FLIPKART&q=water+purifier+filter&store=h1m%2Fiee%2Fkjm%2Fjt3&srno=s_1_23&otracker=search&otracker1=search&fm=organic&iid=2d7fe752-2255-4fdb-ba50-fbb6772b21f6.WFCG5EERAQ4529VE.SEARCH&ppt=None&ppn=None&ssid=j7sz8a9d0g0000001683142897599&qH=5785f7b9d14747e9
