Product Name,Price,Ratings,Model Name,Supported Apps,Operating Systems,Display Size,Screen Type,Color,Storage Memory,Ram Storage,Number of Cores,Processor,Resolutions,System Language,Power Requirement,Refresh Rates
LG 80 cm (32 inch) HD Ready LED Smart WebOS TV  (32LM565BPTA),"₹13,990",4.4,32LM565BPTA, Netflix|Prime Video|Disney+Hotstar|Youtube,WebOS,80 cm (32 inch),LED,Ceramic Black,4 GB,1 GB,4,No value available,"HD Ready, 1366 x 768",No value available,"AC 100 - 240 V, 50/60 Hz",50 Hz
OnePlus Y1S 80 cm (32 inch) HD Ready LED Smart Android TV with Android 11 and Bezel-Less Frame  (32HD2A00),"₹13,999",4.3,32HD2A00, Netflix|Prime Video|Disney+Hotstar|Youtube,Android (Google Assistant & Chromecast in-built),80 cm (32 inch),LED,Black,8 GB,1G,4,MT9216,"HD Ready, 1366 x 768",No value available,AC 100 - 240 V,60 Hz
XElectron X 80 cm (32 inch) HD Ready LED Smart Android TV  (32XETV),"₹8,499",3.9,32XETV, Netflix|Prime Video|Disney+Hotstar|Youtube,Android (Google Assistant & Chromecast in-built),80 cm (32 inch),LED,Black,8 GB,1 GB,4,No value available,"HD Ready, 1366x768","English, Hindi",AC 100 - 240V,60 Hz
OnePlus Y1 100 cm (40 inch) Full HD LED Smart Android TV with Dolby Audio  (40FA1A00),"₹18,999",4.3,40FA1A00, Netflix|Prime Video|Disney+Hotstar|Youtube,Android (Google Assistant & Chromecast in-built),100 cm (40 inch),LED,Black,8 GB,1G,4,Cortex-A53 x 4,"Full HD, 1920 x 1080","English, Hindi","AC 100 - 240 V, 50/60 Hz",60 Hz
iFFALCON by TCL F53 79.97 cm (32 inch) HD Ready LED Smart Android TV with Android 11  (32F53),"₹8,999",4.3,32F53, Netflix|Prime Video|Disney+Hotstar|Youtube,Android (Google Assistant & Chromecast in-built),79.97 cm (32 inch),LED,No value available,No value available,1 GB,4,CA55 x 4,"HD Ready, 1366 x 768",English,AC 100 - 240 V,60 Hz
OnePlus Y1S 108 cm (43 inch) Full HD LED Smart Android TV with Android 11 and Bezel-Less Frame  (43FD2A00),"₹23,999",4.3,43FD2A00, Netflix|Prime Video|Disney+Hotstar|Youtube,Android (Google Assistant & Chromecast in-built),108 cm (43 inch),LED,Black,8 GB,1G,4,MT9216,"Full HD, 1920 x 1080",No value available,AC 100 - 240 V,60 Hz
XElectron 108 cm (43 inch) Ultra HD (4K) LED Smart Android TV  (43XETV),"₹19,499",3.9,43XETV, Netflix|Prime Video|Disney+Hotstar|Youtube,Android (Google Assistant & Chromecast in-built),108 cm (43 inch),LED,Black,8 GB,1 GB,4,No value available,"Ultra HD (4K), 3840 x 2160","English, Hindi",AC 110-240V,60 Hz
Infinix Y1 80 cm (32 inch) HD Ready LED Smart Linux TV with Wall Mount  (32Y1),"₹8,499",4.3,32Y1, Prime Video|Youtube,Linux,80 cm (32 inch),LED,Black,4 GB,NA,4,Quad Core Processor,"HD Ready, 1366 x 768",No value available,AC 100 - 240 V,60 Hz
Mi 5A 100 cm (40 inch) Full HD LED Smart Android TV with Dolby Audio (2022 Model),"₹19,999",4.4,L40M7-EAIN, Netflix|Prime Video|Disney+Hotstar|Youtube,Android (Google Assistant & Chromecast in-built),100 cm (40 inch),LED,Black,8 GB,1.5 GB,No value available,Cortex A55 64-bit Quad Core,"Full HD, 1920 x 1080",English,"AC 100 - 240 V, 50/60 Hz",60 Hz
BeethoSOL 80 cm (32 inch) HD Ready LED Smart Android TV  (LEDSTVBG3285HD27-EK),"₹7,499",4.1,LEDSTVBG3285HD27-EK, Netflix|Prime Video|Disney+Hotstar|Youtube,Android (Google Assistant & Chromecast in-built),80 cm (32 inch),LED,No value available,No value available,No value available,No value available,No value available,"HD Ready, 1366 x 768",No value available,No value available,60 Hz
Mi X Series 108 cm (43 inch) Ultra HD (4K) LED Smart Android TV with Dolby Vision and 30W Dolby Audio (2022 Model),"₹26,999",4.4,L43M7-A2IN, Netflix|Prime Video|Disney+Hotstar|Youtube,Android (Google Assistant & Chromecast in-built),108 cm (43 inch),LED,No value available,8 GB,2 GB,No value available,No value available,"Ultra HD (4K), 3840 x 2160",English,No value available,60 Hz
SENS 80 cm (32 inch) HD Ready LED Smart Linux TV with Dolby Audio  (32WCSHD),"₹7,999",4.1,32WCSHD, Youtube,Linux,80 cm (32 inch),LED,Black,No value available,No value available,4,Mali G31,"HD Ready, 1366 x 768",English,"AC 110 - 240 V, 50/60 Hz",60 Hz
Samsung Crystal 4K 108 cm (43 inch) Ultra HD (4K) LED Smart Tizen TV  (UA43AUE60AKLXL),"₹29,990",4.4,UA43AUE60AKLXL, Netflix|Prime Video|Disney+Hotstar|Youtube,Tizen,108 cm (43 inch),LED,Black,No value available,1.5,No value available,Crystal Processor 4K,"Ultra HD (4K), 3840 x 2160",No value available,No value available,60 Hz
OnePlus Y1S Pro 138 cm (55 inch) Ultra HD (4K) LED Smart Android TV  (55UD2A00),"₹39,999",4.4,55UD2A00, Netflix|Prime Video|Disney+Hotstar|Youtube,Android (Google Assistant & Chromecast in-built),138 cm (55 inch),LED,Black,No value available,No value available,4,MT9612,"Ultra HD (4K), 3840 x 2160",No value available,AC 100 - 240 V,60 Hz
SAMSUNG Crystal 4K Neo Series 108 cm (43 inch) Ultra HD (4K) LED Smart Tizen TV with (Black) (2022 Model)  (UA43AUE65AKXXL),"₹30,499",4.4,UA43AUE65AKXXL, Netflix|Prime Video|Disney+Hotstar|Youtube,Tizen,108 cm (43 inch),LED,Black,8 GB,1.5,No value available,Crystal Processor 4K,"Ultra HD (4K), Crystal 4K FE UHD (3840 x 2160)",No value available,"AC 220 - 240 V, 50/60 Hz",50 Hz
LG UQ7500 108 cm (43 inch) Ultra HD (4K) LED Smart WebOS TV 2022 Edition  (43UQ7500PSF),"₹31,990",4.4,43UQ7500PSF, Netflix|Prime Video|Disney+Hotstar|Youtube,WebOS,108 cm (43 inch),LED,Ceramic Black,8 GB,1.5 GB,No value available,Gen5 AI Processor 4K,"Ultra HD (4K), 3840 x 2160",No value available,"AC 100 - 240 V, 50/60 Hz",60 Hz
Mi 5A 108 cm (43 inch) Full HD LED Smart Android TV with Dolby Audio (2022 Model),"₹23,999",4.4,L43M7-EAIN, Netflix|Prime Video|Disney+Hotstar|Youtube,Android (Google Assistant & Chromecast in-built),108 cm (43 inch),LED,Black,8 GB,1.5 GB,No value available,Cortex A55 64-bit Quad Core,"Full HD, 1920 x 1080",English,"AC 100 - 240 V, 50/60 Hz",60 Hz
Vu GloLED 108 cm (43 inch) Ultra HD (4K) LED Smart Google TV with DJ Subwoofer 84W  (43GloLED),"₹27,990",4.5,43GloLED, Netflix|Prime Video|Disney+Hotstar|Youtube,Google TV,108 cm (43 inch),LED,Grey,No value available,No value available,4,No value available,"Ultra HD (4K), 3840 x 2160",English,"AC 100 - 240 V, 50 Hz",60 Hz
acer 127 cm (50 inch) Ultra HD (4K) LED Smart Android TV  (AR50AR2851UDPRO),"₹28,999",4.6,AR50AR2851UDPRO, Netflix|Prime Video|Disney+Hotstar|Youtube,Android (Google Assistant & Chromecast in-built),127 cm (50 inch),LED,Black,16 GB,2 GB,4,Cortex-A55 x 4,"Ultra HD (4K), 3840 × 2160",No value available,"AC 100 - 240 V, 50/60 Hz",60 Hz
